company_key,company_name,segment_primary,segment_tags,source_lists,local_source_rank,yc_source_rank,city,state_or_region,metro_area,company_category,employee_band,hq_status,company_website,careers_page,company_linkedin,source_systems,check_daily,priority_tier,board_type,board_url,board_token,board_api_url,board_confirmation_status,board_last_verified_at,resolved_from_url,listing_source_type,listing_source_url,listing_source_job_count,listing_source_last_verified_at,listing_authority,listing_source_notes,job_source_type,job_source_url,job_source_job_count,job_source_last_verified_at,job_source_notes,jd_capture_status,jd_format,jd_extraction_method,jd_extraction_locator,jd_last_verified_at,jd_notes,notes
adp,ADP,local,local,greater_phoenix,1,,Tempe,AZ,Greater Phoenix,Accounting and Finance,10001+,Remote Office,https://www.adp.com/,https://jobs.adp.com/?rb=ADP_COM,https://www.linkedin.com/company/adp/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon-services,Amazon Services,local,local,greater_phoenix,2,,Tempe,AZ,Greater Phoenix,IT Mgt,1001-5000,Remote Office,https://services.amazon.com/,https://www.amazon.jobs/en/,https://www.linkedin.com/showcase/amazon-services/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
anju-software,Anju Software,local,local,greater_phoenix,3,,Tempe,AZ,Greater Phoenix,Practice Management,201-500,Local HQ,https://anjusoftware.com/,https://www.anjusoftware.com/company/careers,https://www.linkedin.com/company/anju-software/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
basata,Basata,local,local,greater_phoenix,4,,Tempe,AZ,Greater Phoenix,AI and SaaS,11-50,Local HQ,https://www.basata.ai,https://www.basata.ai/about-team#careers,https://www.linkedin.com/company/basata,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
carvana,Carvana,local,local,greater_phoenix,5,,Tempe,AZ,Greater Phoenix,Personal On-Demand Services,10001+,Local HQ,http://www.carvana.com/,https://www.carvana.com/careers/,https://www.linkedin.com/company/carvana/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
edge3-technologies,Edge3 Technologies,local,local,greater_phoenix,6,,Tempe,AZ,Greater Phoenix,Analytics and BI,51-200,Local HQ,https://www.edge3technologies.com/,https://www.edge3technologies.com/careers/,https://www.linkedin.com/company/edge-3-technologies/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
elevate-tickets,Elevate Tickets,local,local,greater_phoenix,7,,Tempe,AZ,Greater Phoenix,Sales and Marketing,51-200,Local HQ,https://www.elevatetickets.com/,https://www.elevatetickets.com/careers.html,https://www.linkedin.com/company/elevate-tickets/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
enchoice,enChoice,local,local,greater_phoenix,8,,Tempe,AZ,Greater Phoenix,Business Mgt and ERP,51-200,Local HQ,https://www.enchoice.com/,https://www.enchoice.com/Join-Our-Team,https://www.linkedin.com/company/enchoice-inc/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
endpoint,Endpoint,local,local,greater_phoenix,9,,Tempe,AZ,Greater Phoenix,Document Management,201-500,Remote Office,https://endpointclosing.com/,https://www.endpoint.com/careers,https://www.endpoint.com/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
genius-monkey,Genius Monkey,local,local,greater_phoenix,10,,Tempe,AZ,Greater Phoenix,Sales and Marketing,51-200,Local HQ,https://geniusmonkey.com/,https://geniusmonkey.com/careers/,https://www.linkedin.com/company/genius-monkey/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
githired,GitHired,local,local,greater_phoenix,11,,Tempe,AZ,Greater Phoenix,HR and Recruiting,1-10,Local HQ,https://www.githired.tech/,https://www.linkedin.com/company/githirednow/jobs/,https://www.linkedin.com/company/githirednow,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
globaltranz,GlobalTranz,local,local,greater_phoenix,12,,Tempe,AZ,Greater Phoenix,Logistics and Supply Chain,1001-5000,Remote Office,https://www.globaltranz.com/,https://www.globaltranz.com/about/careers/,https://www.linkedin.com/company/globaltranz/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
healthdox,Healthdox,local,local,greater_phoenix,13,,Tempe,AZ,Greater Phoenix,Compliance,10001+,Local HQ,https://www.healthdox.com/,https://healthdox.com/?page_id=5169/,https://www.linkedin.com/company/healthdox/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
houzz,Houzz,local,local,greater_phoenix,14,,Tempe,AZ,Greater Phoenix,Personal Real Estate,1001-5000,Remote Office,http://www.houzz.com/,https://www.houzz.com/jobs/,https://www.linkedin.com/company/houzz/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
inflectionhr,InflectionHR,local,local,greater_phoenix,15,,Tempe,AZ,Greater Phoenix,HR and Recruiting,51-200,Local HQ,https://www.inflectionhr.com/,https://secure3.yourpayrollhr.com/ta/IHR9999.careers?CareersSearch/,https://www.linkedin.com/company/inflection-hr/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
jpglobal,JPGlobal,local,local,greater_phoenix,16,,Tempe,AZ,Greater Phoenix,Business Mgt and ERP,1-10,Local HQ,https://jpglobalsolutions.com/,https://www.linkedin.com/company/jpglobal/jobs/,linkedin.com/company/jpglobal/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
kinective,Kinective,local,local,greater_phoenix,17,,Tempe,AZ,Greater Phoenix,Business Mgt and ERP,51-200,Local HQ,http://www.whycfm.com/,http://www.whycfm.com/join-us/,https://www.linkedin.com/company/cash-flow-management-inc./about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
kubra,KUBRA,local,local,greater_phoenix,18,,Tempe,AZ,Greater Phoenix,Sales and Marketing,501-1000,Local HQ,https://kubra.com/,https://kubra.com/about-us/careers/,https://www.linkedin.com/company/kubra-data-transfer/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
lumenbrite,Lumenbrite,local,local,greater_phoenix,19,,Tempe,AZ,Greater Phoenix,Marketplace,1-10,Remote Office,https://lumenbrite.com/,https://lumenbrite.com/jobs/,https://www.linkedin.com/company/lumenbrite/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,Microsoft,local,local,greater_phoenix,20,,Tempe,AZ,Greater Phoenix,Business Mgt and ERP,10001+,Remote Office,https://www.microsoft.com/en-us/,https://careers.microsoft.com/us/en/,https://www.linkedin.com/company/microsoft/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
moov,Moov,local,local,greater_phoenix,21,,Tempe,AZ,Greater Phoenix,Marketplace,51-200,Local HQ,http://www.moov.co/,https://www.moov.co/careers,https://www.linkedin.com/company/moov-technologies-inc/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
norton-lifelock,Norton LifeLock,local,local,greater_phoenix,22,,Tempe,AZ,Greater Phoenix,Cybersecurity,1001-5000,Local HQ,https://lifelock.norton.com/,https://www.nortonlifelock.com/us/en/careers/,https://www.linkedin.com/company/nortonlifelock/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
ovationcxm,OvationCXM,local,local,greater_phoenix,23,,Tempe,AZ,Greater Phoenix,Business Mgt and ERP,51-200,Remote Office,https://www.ovationcxm.com/,https://www.ovationcxm.com/careers-open,https://www.linkedin.com/company/ovationcxm/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
pagely,Pagely,local,local,greater_phoenix,24,,Tempe,AZ,Greater Phoenix,Cloud and Software Dev Tools,11-50,Local HQ,https://pagely.com/,https://pagely.com/careers/,https://www.linkedin.com/company/pagely/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
pretorin,Pretorin,local,local,greater_phoenix,25,,Tempe,AZ,Greater Phoenix,Compliance,1-10,Local HQ,https://pretorin.com,https://pretorin.com/careers,https://www.linkedin.com/company/pretorin,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
project-iceberg-inc,"Project Iceberg, Inc",local,local,greater_phoenix,26,,Tempe,AZ,Greater Phoenix,HR and Recruiting,1-10,Local HQ,https://projecticeberg.us/,https://www.linkedin.com/company/project-iceberg-inc/jobs/,https://www.linkedin.com/company/103298419/admin/dashboard/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
protos-software,Protos Software,local,local,greater_phoenix,27,,Tempe,AZ,Greater Phoenix,Business Mgt and ERP,1-10,Local HQ,http://www.protossoft.com/,https://www.protossoft.com/careers/,https://www.linkedin.com/company/protos-software-llc/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
radialspark,RadialSpark,local,local,greater_phoenix,28,,Tempe,AZ,Greater Phoenix,Cloud and Software Dev Tools,11-50,Local HQ,https://www.radialspark.com/,https://www.radialspark.com/careers,https://www.linkedin.com/company/radialspark/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
repay,REPAY,local,local,greater_phoenix,29,,Tempe,AZ,Greater Phoenix,Payments,201-500,Remote Office,http://www.repay.com/,https://www.repay.com/careers/,https://www.linkedin.com/company/repay-holdings/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
reputation,Reputation,local,local,greater_phoenix,30,,Tempe,AZ,Greater Phoenix,Sales and Marketing,501-1000,Remote Office,https://www.reputation.com/,https://www.reputation.com/careers/,https://www.linkedin.com/company/reputation-com/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
ring-amazon,Ring (Amazon),local,local,greater_phoenix,31,,Tempe,AZ,Greater Phoenix,Personal Real Estate,1001-5000,Remote Office,http://www.ring.com/,https://www.amazon.jobs/en/teams/ring/,https://www.linkedin.com/company/ring-labs/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
salucro,Salucro,local,local,greater_phoenix,32,,Tempe,AZ,Greater Phoenix,Accounting and Finance,51-200,Local HQ,https://www.salucro.com/home/,https://www.salucro.com/home/about/careers/,https://www.linkedin.com/company/salucro-healthcare-solutions/about/,phx_fwd_local_software_100,true,,,,,,,,,,,,,,,,,,,,,,,,,,
