company_name,company_slug,website,yc_directory_url,all_locations,regions,is_hiring,detected_board_type,trackability,selected_url,evidence
10x,10x,https://www.10xdental.com/,https://www.ycombinator.com/companies/10x,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.10xdental.com/,no_careers_surface_detected
10x Science,10x-science,https://10xscience.com,https://www.ycombinator.com/companies/10x-science,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://10xscience.com/open-positions/,custom_careers_page
14.ai,14-ai,https://14.ai,https://www.ycombinator.com/companies/14-ai,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.14.ai/,no_careers_surface_detected
1stCollab,1stcollab,https://1stcollab.com/,https://www.ycombinator.com/companies/1stcollab,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.1stcollab.com/,no_careers_surface_detected
222,222,https://222.place,https://www.ycombinator.com/companies/222,"New York, NY, USA",United States of America;America / Canada,true,,unknown,https://222.place/,no_careers_surface_detected
a0.dev,a0-dev,https://a0.dev,https://www.ycombinator.com/companies/a0-dev,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://a0.dev/careers,custom_careers_page
Abacum,abacum,https://www.abacum.ai/,https://www.ycombinator.com/companies/abacum,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,ukg_ultipro,structured_board,https://www.abacum.ai/customers,ukg
Abundant,abundant,https://www.abundant.ai/,https://www.ycombinator.com/companies/abundant,"San Francisco, CA, USA",United States of America;America / Canada,true,ashby,api_native,https://www.abundant.ai/,jobs.ashbyhq.com
Accord,accord,https://inaccord.com,https://www.ycombinator.com/companies/accord,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://inaccord.com/company/about#careers,jobs.ashbyhq.com
Acely,acely,https://acely.com,https://www.ycombinator.com/companies/acely,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://acely.com/,no_careers_surface_detected
