company_key,company_name,segment_primary,segment_tags,source_lists,local_source_rank,yc_source_rank,city,state_or_region,metro_area,company_category,employee_band,hq_status,company_website,careers_page,company_linkedin,source_systems,check_daily,priority_tier,board_type,board_url,board_token,board_api_url,board_confirmation_status,board_last_verified_at,resolved_from_url,job_source_type,job_source_url,job_source_job_count,job_source_last_verified_at,job_source_notes,jd_capture_status,jd_format,jd_extraction_method,jd_extraction_locator,jd_last_verified_at,jd_notes,notes
soraban,Soraban,local,local;yc,greater_phoenix;yc_seed_from_local_overlap,37,,Tempe,AZ,Greater Phoenix,Accounting and Finance,11-50,Local HQ,https://www.soraban.com/,https://www.ycombinator.com/companies/soraban/jobs/,https://www.linkedin.com/company/sorabansoftware/about/,phx_fwd_local_software_100;local_yc_overlap,true,,,,,,,,,,,,,,,,,,,,
abundant,Abundant,yc,yc,yc_us_hiring_confirmed_api_native_live,,1,,,,,,,https://www.abundant.ai/,https://www.abundant.ai/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/abundant,abundant,https://api.ashbyhq.com/posting-api/job-board/abundant?includeCompensation=true,live_jobs,,https://www.abundant.ai/,api_native,https://api.ashbyhq.com/posting-api/job-board/abundant?includeCompensation=true,3,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
accord,Accord,yc,yc,yc_us_hiring_confirmed_api_native_live,,2,,,,,,,https://inaccord.com,https://inaccord.com/company/about#careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Accord,Accord,https://api.ashbyhq.com/posting-api/job-board/Accord?includeCompensation=true,live_jobs,,https://inaccord.com/company/about#careers,api_native,https://api.ashbyhq.com/posting-api/job-board/Accord?includeCompensation=true,2,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
afterquery,AfterQuery,yc,yc,yc_us_hiring_confirmed_api_native_live,,3,,,,,,,https://afterquery.com,https://www.afterquery.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/AfterQuery,AfterQuery,https://api.ashbyhq.com/posting-api/job-board/AfterQuery?includeCompensation=true,live_jobs,,https://www.afterquery.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/AfterQuery?includeCompensation=true,26,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
aiprise,AiPrise,yc,yc,yc_us_hiring_confirmed_api_native_live,,4,,,,,,,https://aiprise.com/,https://www.aiprise.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/aiprise,aiprise,https://api.ashbyhq.com/posting-api/job-board/aiprise?includeCompensation=true,live_jobs,,https://www.aiprise.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/aiprise?includeCompensation=true,10,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
aleph,Aleph,yc,yc,yc_us_hiring_confirmed_api_native_live,,5,,,,,,,https://getaleph.com/,https://www.getaleph.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/aleph,aleph,https://api.ashbyhq.com/posting-api/job-board/aleph?includeCompensation=true,live_jobs,,https://www.getaleph.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/aleph?includeCompensation=true,7,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
ambient-ai,Ambient.ai,yc,yc,yc_us_hiring_confirmed_api_native_live,,6,,,,,,,https://ambient.ai,https://www.ambient.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/ambient.ai,ambient.ai,https://api.ashbyhq.com/posting-api/job-board/ambient.ai?includeCompensation=true,live_jobs,,https://www.ambient.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/ambient.ai?includeCompensation=true,19,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
anara,Anara,yc,yc,yc_us_hiring_confirmed_api_native_live,,7,,,,,,,https://anara.com,https://anara.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/anara,anara,https://api.ashbyhq.com/posting-api/job-board/anara?includeCompensation=true,live_jobs,,https://anara.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/anara?includeCompensation=true,4,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
apolink,Apolink,yc,yc,yc_us_hiring_confirmed_api_native_live,,8,,,,,,,https://apolink.space,https://apolink.space/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/apolink,apolink,https://api.ashbyhq.com/posting-api/job-board/apolink?includeCompensation=true,live_jobs,,https://apolink.space/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/apolink?includeCompensation=true,3,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
apollo,Apollo,yc,yc,yc_us_hiring_confirmed_api_native_live,,9,,,,,,,http://apollographql.com/,https://www.apollographql.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/apollo-graphql,apollo-graphql,https://api.ashbyhq.com/posting-api/job-board/apollo-graphql?includeCompensation=true,live_jobs,,https://www.apollographql.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/apollo-graphql?includeCompensation=true,9,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
arini,Arini,yc,yc,yc_us_hiring_confirmed_api_native_live,,10,,,,,,,https://www.arini.ai,https://www.arini.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/arini,arini,https://api.ashbyhq.com/posting-api/job-board/arini?includeCompensation=true,live_jobs,,https://www.arini.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/arini?includeCompensation=true,1,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
